f.130178.0.0	Source of report of B02 (zoster [herpes zoster])
f.130180.0.0	Source of report of B03 (smallpox)
f.130184.0.0	Source of report of B05 (measles)
f.130186.0.0	Source of report of B06 (rubella [german measles])
f.130188.0.0	Source of report of B07 (viral warts)
f.130190.0.0	"Source of report of B08 (other viral infections characterised by skin and mucous membrane lesions, not elsewhere classified)"
f.130192.0.0	Source of report of B09 (unspecified viral infection characterised by skin and mucous membrane lesions)
f.130194.0.0	Source of report of B15 (acute hepatitis a)
f.130196.0.0	Source of report of B16 (acute hepatitis b)
f.130198.0.0	Source of report of B17 (other acute viral hepatitis)
f.130200.0.0	Source of report of B18 (chronic viral hepatitis)
f.130202.0.0	Source of report of B19 (unspecified viral hepatitis)
f.130204.0.0	Source of report of B20 (human immunodeficiency virus [hiv] disease resulting in infectious and parasitic diseases)
f.130206.0.0	Source of report of B21 (human immunodeficiency virus [hiv] disease resulting in malignant neoplasms)
f.130208.0.0	Source of report of B22 (human immunodeficiency virus [hiv] disease resulting in other specified diseases)
f.130210.0.0	Source of report of B23 (human immunodeficiency virus [hiv] disease resulting in other conditions)
f.130212.0.0	Source of report of B24 (unspecified human immunodeficiency virus [hiv] disease)
f.130214.0.0	Source of report of B25 (cytomegaloviral disease)
f.130216.0.0	Source of report of B26 (mumps)
f.130218.0.0	Source of report of B27 (infectious mononucleosis)
f.130220.0.0	Source of report of B30 (viral conjunctivitis)
f.130222.0.0	"Source of report of B33 (other viral diseases, not elsewhere classified)"
f.130224.0.0	Source of report of B34 (viral infection of unspecified site)
f.130226.0.0	Source of report of B35 (dermatophytosis)
f.130228.0.0	Source of report of B36 (other superficial mycoses)
f.130230.0.0	Source of report of B37 (candidiasis)
f.130232.0.0	Source of report of B38 (coccidioidomycosis)
f.130234.0.0	Source of report of B39 (histoplasmosis)
f.130236.0.0	Source of report of B40 (blastomycosis)
f.130240.0.0	Source of report of B42 (sporotrichosis)
f.130242.0.0	Source of report of B43 (chromomycosis and phaeomycotic abscess)
f.130244.0.0	Source of report of B44 (aspergillosis)
f.130246.0.0	Source of report of B45 (cryptococcosis)
f.130248.0.0	Source of report of B46 (zygomycosis)
f.130250.0.0	Source of report of B47 (mycetoma)
f.130252.0.0	"Source of report of B48 (other mycoses, not elsewhere classified)"
f.130254.0.0	Source of report of B49 (unspecified mycosis)
f.130256.0.0	Source of report of B50 (plasmodium falciparum malaria)
f.130258.0.0	Source of report of B51 (plasmodium vivax malaria)
f.130260.0.0	Source of report of B52 (plasmodium malariae malaria)
f.130262.0.0	Source of report of B53 (other parasitologically confirmed malaria)
f.130264.0.0	Source of report of B54 (unspecified malaria)
f.130266.0.0	Source of report of B55 (leishmaniasis)
f.130270.0.0	Source of report of B57 (chagas' disease)
f.130272.0.0	Source of report of B58 (toxoplasmosis)
f.130274.0.0	Source of report of B59 (pneumocystosis)
f.130276.0.0	"Source of report of B60 (other protozoal diseases, not elsewhere classified)"
f.130280.0.0	Source of report of B65 (schistosomiasis [bilharziasis])
f.130282.0.0	Source of report of B66 (other fluke infections)
f.130284.0.0	Source of report of B67 (echinococcosis)
f.130286.0.0	Source of report of B68 (taeniasis)
f.130288.0.0	Source of report of B69 (cysticercosis)
f.130292.0.0	Source of report of B71 (other cestode infections)
f.130296.0.0	Source of report of B73 (onchocerciasis)
f.130298.0.0	Source of report of B74 (filariasis)
f.130300.0.0	Source of report of B75 (trichinellosis)
f.130302.0.0	Source of report of B76 (hookworm diseases)
f.130304.0.0	Source of report of B77 (ascariasis)
f.130306.0.0	Source of report of B78 (strongyloidiasis)
f.130308.0.0	Source of report of B79 (trichuriasis)
f.130310.0.0	Source of report of B80 (enterobiasis)
f.130312.0.0	"Source of report of B81 (other intestinal helminthiases, not elsewhere classified)"
f.130314.0.0	Source of report of B82 (unspecified intestinal parasitism)
f.130316.0.0	Source of report of B83 (other helminthiases)
f.130318.0.0	Source of report of B85 (pediculosis and phthiriasis)
f.130320.0.0	Source of report of B86 (scabies)
f.130322.0.0	Source of report of B87 (myiasis)
f.130324.0.0	Source of report of B88 (other infestations)
f.130326.0.0	Source of report of B89 (unspecified parasitic disease)
f.130328.0.0	Source of report of B90 (sequelae of tuberculosis)
f.130330.0.0	Source of report of B91 (sequelae of poliomyelitis)
f.130334.0.0	Source of report of B94 (sequelae of other and unspecified infectious and parasitic diseases)
f.130336.0.0	Source of report of B95 (streptococcus and staphylococcus as the cause of diseases classified to other chapters)
f.130338.0.0	Source of report of B96 (other bacterial agents as the cause of diseases classified to other chapters)
f.130340.0.0	Source of report of B97 (viral agents as the cause of diseases classified to other chapters)
f.130342.0.0	Source of report of B98 (other specified infectious agents as the cause of diseases classified to other chapters)
f.130344.0.0	Source of report of B99 (other and unspecified infectious diseases)
f.130622.0.0	Source of report of D50 (iron deficiency anaemia)
f.130624.0.0	Source of report of D51 (vitamin b12 deficiency anaemia)
f.130626.0.0	Source of report of D52 (folate deficiency anaemia)
f.130628.0.0	Source of report of D53 (other nutritional anaemias)
f.130630.0.0	Source of report of D55 (anaemia due to enzyme disorders)
f.130632.0.0	Source of report of D56 (thalassaemia)
f.130634.0.0	Source of report of D57 (sickle-cell disorders)
f.130636.0.0	Source of report of D58 (other hereditary haemolytic anaemias)
f.130638.0.0	Source of report of D59 (acquired haemolytic anaemia)
f.130640.0.0	Source of report of D60 (acquired pure red cell aplasia [erythroblastopenia])
f.130642.0.0	Source of report of D61 (other aplastic anaemias)
f.130644.0.0	Source of report of D62 (acute posthaemorrhagic anaemia)
f.130646.0.0	Source of report of D63 (anaemia in chronic diseases classified elsewhere)
f.130648.0.0	Source of report of D64 (other anaemias)
f.130650.0.0	Source of report of D65 (disseminated intravascular coagulation [defibrination syndrome])
f.130652.0.0	Source of report of D66 (hereditary factor viii deficiency)
f.130654.0.0	Source of report of D67 (hereditary factor ix deficiency)
f.130656.0.0	Source of report of D68 (other coagulation defects)
f.130658.0.0	Source of report of D69 (purpura and other haemorrhagic conditions)
f.130660.0.0	Source of report of D70 (agranulocytosis)
f.130662.0.0	Source of report of D71 (functional disorders of polymorphonuclear neutrophils)
f.130664.0.0	Source of report of D72 (other disorders of white blood cells)
f.130666.0.0	Source of report of D73 (diseases of spleen)
f.130668.0.0	Source of report of D74 (methaemoglobinaemia)
f.130670.0.0	Source of report of D75 (other diseases of blood and blood-forming organs)
f.130672.0.0	Source of report of D76 (certain diseases involving lymphoreticular tissue and reticulohistiocytic system)
f.130674.0.0	Source of report of D77 (other disorders of blood and blood-forming organs in diseases classified elsewhere)
f.130676.0.0	Source of report of D80 (immunodeficiency with predominantly antibody defects)
f.130678.0.0	Source of report of D81 (combined immunodeficiencies)
f.130680.0.0	Source of report of D82 (immunodeficiency associated with other major defects)
f.130682.0.0	Source of report of D83 (common variable immunodeficiency)
f.130684.0.0	Source of report of D84 (other immunodeficiencies)
f.130686.0.0	Source of report of D86 (sarcoidosis)
f.130688.0.0	"Source of report of D89 (other disorders involving the immune mechanism, not elsewhere classified)"
f.130692.0.0	Source of report of E01 (iodine-deficiency-related thyroid disorders and allied conditions)
f.130694.0.0	Source of report of E02 (subclinical iodine-deficiency hypothyroidism)
f.130696.0.0	Source of report of E03 (other hypothyroidism)
f.130698.0.0	Source of report of E04 (other non-toxic goitre)
f.130700.0.0	Source of report of E05 (thyrotoxicosis [hyperthyroidism])
f.130702.0.0	Source of report of E06 (thyroiditis)
f.130704.0.0	Source of report of E07 (other disorders of thyroid)
f.130706.0.0	Source of report of E10 (insulin-dependent diabetes mellitus)
f.130708.0.0	Source of report of E11 (non-insulin-dependent diabetes mellitus)
f.130710.0.0	Source of report of E12 (malnutrition-related diabetes mellitus)
f.130712.0.0	Source of report of E13 (other specified diabetes mellitus)
f.130714.0.0	Source of report of E14 (unspecified diabetes mellitus)
f.130716.0.0	Source of report of E15 (nondiabetic hypoglycaemic coma)
f.130718.0.0	Source of report of E16 (other disorders of pancreatic internal secretion)
f.130720.0.0	Source of report of E20 (hypoparathyroidism)
f.130722.0.0	Source of report of E21 (hyperparathyroidism and other disorders of parathyroid gland)
f.130724.0.0	Source of report of E22 (hyperfunction of pituitary gland)
f.130726.0.0	Source of report of E23 (hypofunction and other disorders of pituitary gland)
f.130728.0.0	Source of report of E24 (cushing's syndrome)
f.130730.0.0	Source of report of E25 (adrenogenital disorders)
f.130732.0.0	Source of report of E26 (hyperaldosteronism)
f.130734.0.0	Source of report of E27 (other disorders of adrenal gland)
f.130736.0.0	Source of report of E28 (ovarian dysfunction)
f.130738.0.0	Source of report of E29 (testicular dysfunction)
f.130740.0.0	"Source of report of E30 (disorders of puberty, not elsewhere classified)"
f.130742.0.0	Source of report of E31 (polyglandular dysfunction)
f.130744.0.0	Source of report of E32 (diseases of thymus)
f.130746.0.0	Source of report of E34 (other endocrine disorders)
f.130748.0.0	Source of report of E35 (disorders of endocrine glands in diseases classified elsewhere)
f.130752.0.0	Source of report of E41 (nutritional marasmus)
f.130756.0.0	Source of report of E43 (unspecified severe protein-energy malnutrition)
f.130758.0.0	Source of report of E44 (protein-energy malnutrition of moderate and mild degree)
f.130760.0.0	Source of report of E45 (retarded development following protein-energy malnutrition)
f.130762.0.0	Source of report of E46 (unspecified protein-energy malnutrition)
f.130764.0.0	Source of report of E50 (vitamin a deficiency)
f.130766.0.0	Source of report of E51 (thiamine deficiency)
f.130768.0.0	Source of report of E52 (niacin deficiency [pellagra])
f.130770.0.0	Source of report of E53 (deficiency of other b group vitamins)
f.130772.0.0	Source of report of E54 (ascorbic acid deficiency)
f.130774.0.0	Source of report of E55 (vitamin d deficiency)
f.130776.0.0	Source of report of E56 (other vitamin deficiencies)
f.130778.0.0	Source of report of E58 (dietary calcium deficiency)
f.130780.0.0	Source of report of E59 (dietary selenium deficiency)
f.130782.0.0	Source of report of E60 (dietary zinc deficiency)
f.130784.0.0	Source of report of E61 (deficiency of other nutrient elements)
f.130786.0.0	Source of report of E63 (other nutritional deficiencies)
f.130788.0.0	Source of report of E64 (sequelae of malnutrition and other nutritional deficiencies)
f.130790.0.0	Source of report of E65 (localised adiposity)
f.130792.0.0	Source of report of E66 (obesity)
f.130794.0.0	Source of report of E67 (other hyperalimentation)
f.130796.0.0	Source of report of E68 (sequelae of hyperalimentation)
f.130798.0.0	Source of report of E70 (disorders of aromatic amino-acid metabolism)
f.130800.0.0	Source of report of E71 (disorders of branched-chain amino-acid metabolism and fatty-acid metabolism)
f.130802.0.0	Source of report of E72 (other disorders of amino-acid metabolism)
f.130804.0.0	Source of report of E73 (lactose intolerance)
f.130806.0.0	Source of report of E74 (other disorders of carbohydrate metabolism)
f.130808.0.0	Source of report of E75 (disorders of sphingolipid metabolism and other lipid storage disorders)
f.130810.0.0	Source of report of E76 (disorders of glycosaminoglycan metabolism)
f.130812.0.0	Source of report of E77 (disorders of glycoprotein metabolism)
f.130814.0.0	Source of report of E78 (disorders of lipoprotein metabolism and other lipidaemias)
f.130816.0.0	Source of report of E79 (disorders of purine and pyrimidine metabolism)
f.130818.0.0	Source of report of E80 (disorders of porphyrin and bilirubin metabolism)
f.130820.0.0	Source of report of E83 (disorders of mineral metabolism)
f.130822.0.0	Source of report of E84 (cystic fibrosis)
f.130824.0.0	Source of report of E85 (amyloidosis)
f.130826.0.0	Source of report of E86 (volume depletion)
f.130828.0.0	"Source of report of E87 (other disorders of fluid, electrolyte and acid-base balance)"
f.130830.0.0	Source of report of E88 (other metabolic disorders)
f.130832.0.0	"Source of report of E89 (postprocedural endocrine and metabolic disorders, not elsewhere classified)"
f.130836.0.0	Source of report of F00 (dementia in alzheimer's disease)
f.130838.0.0	Source of report of F01 (vascular dementia)
f.130840.0.0	Source of report of F02 (dementia in other diseases classified elsewhere)
f.130842.0.0	Source of report of F03 (unspecified dementia)
f.130844.0.0	"Source of report of F04 (organic amnesic syndrome, not induced by alcohol and other psychoactive substances)"
f.130846.0.0	"Source of report of F05 (delirium, not induced by alcohol and other psychoactive substances)"
f.130848.0.0	Source of report of F06 (other mental disorders due to brain damage and dysfunction and to physical disease)
f.130850.0.0	"Source of report of F07 (personality and behavioural disorders due to brain disease, damage and dysfunction)"
f.130852.0.0	Source of report of F09 (unspecified organic or symptomatic mental disorder)
f.130854.0.0	Source of report of F10 (mental and behavioural disorders due to use of alcohol)
f.130856.0.0	Source of report of F11 (mental and behavioural disorders due to use of opioids)
f.130858.0.0	Source of report of F12 (mental and behavioural disorders due to use of cannabinoids)
f.130860.0.0	Source of report of F13 (mental and behavioural disorders due to use of sedatives or hypnotics)
f.130862.0.0	Source of report of F14 (mental and behavioural disorders due to use of cocaine)
f.130864.0.0	"Source of report of F15 (mental and behavioural disorders due to use of other stimulants, including caffeine)"
f.130866.0.0	Source of report of F16 (mental and behavioural disorders due to use of hallucinogens)
f.130868.0.0	Source of report of F17 (mental and behavioural disorders due to use of tobacco)
f.130870.0.0	Source of report of F18 (mental and behavioural disorders due to use of volatile solvents)
f.130872.0.0	Source of report of F19 (mental and behavioural disorders due to multiple drug use and use of other psychoactive substances)
f.130874.0.0	Source of report of F20 (schizophrenia)
f.130876.0.0	Source of report of F21 (schizotypal disorder)
f.130878.0.0	Source of report of F22 (persistent delusional disorders)
f.130880.0.0	Source of report of F23 (acute and transient psychotic disorders)
f.130882.0.0	Source of report of F24 (induced delusional disorder)
f.130884.0.0	Source of report of F25 (schizoaffective disorders)
f.130886.0.0	Source of report of F28 (other nonorganic psychotic disorders)
f.130888.0.0	Source of report of F29 (unspecified nonorganic psychosis)
f.130890.0.0	Source of report of F30 (manic episode)
f.130892.0.0	Source of report of F31 (bipolar affective disorder)
f.130894.0.0	Source of report of F32 (depressive episode)
f.130896.0.0	Source of report of F33 (recurrent depressive disorder)
f.130898.0.0	Source of report of F34 (persistent mood [affective] disorders)
f.130900.0.0	Source of report of F38 (other mood [affective] disorders)
f.130902.0.0	Source of report of F39 (unspecified mood [affective] disorder)
f.130904.0.0	Source of report of F40 (phobic anxiety disorders)
f.130906.0.0	Source of report of F41 (other anxiety disorders)
f.130908.0.0	Source of report of F42 (obsessive-compulsive disorder)
f.130910.0.0	"Source of report of F43 (reaction to severe stress, and adjustment disorders)"
f.130912.0.0	Source of report of F44 (dissociative [conversion] disorders)
f.130914.0.0	Source of report of F45 (somatoform disorders)
f.130916.0.0	Source of report of F48 (other neurotic disorders)
f.130918.0.0	Source of report of F50 (eating disorders)
f.130920.0.0	Source of report of F51 (nonorganic sleep disorders)
f.130922.0.0	"Source of report of F52 (sexual dysfunction, not caused by organic disorder or disease)"
f.130924.0.0	"Source of report of F53 (mental and behavioural disorders associated with the puerperium, not elsewhere classified)"
f.130926.0.0	Source of report of F54 (psychological and behavioural factors associated with disorders or diseases classified elsewhere)
f.130928.0.0	Source of report of F55 (abuse of non-dependence-producing substances)
f.130930.0.0	Source of report of F59 (unspecified behavioural syndromes associated with physiological disturbances and physical factors)
f.130932.0.0	Source of report of F60 (specific personality disorders)
f.130934.0.0	Source of report of F61 (mixed and other personality disorders)
f.130936.0.0	"Source of report of F62 (enduring personality changes, not attributable to brain damage and disease)"
f.130938.0.0	Source of report of F63 (habit and impulse disorders)
f.130940.0.0	Source of report of F64 (gender identity disorders)
f.130942.0.0	Source of report of F65 (disorders of sexual preference)
f.130944.0.0	Source of report of F66 (psychological and behavioural disorders associated with sexual development and orientation)
f.130946.0.0	Source of report of F68 (other disorders of adult personality and behaviour)
f.130948.0.0	Source of report of F69 (unspecified disorder of adult personality and behaviour)
f.130950.0.0	Source of report of F70 (mild mental retardation)
f.130952.0.0	Source of report of F71 (moderate mental retardation)
f.130954.0.0	Source of report of F72 (severe mental retardation)
f.130958.0.0	Source of report of F78 (other mental retardation)
f.130960.0.0	Source of report of F79 (unspecified mental retardation)
f.130962.0.0	Source of report of F80 (specific developmental disorders of speech and language)
f.130964.0.0	Source of report of F81 (specific developmental disorders of scholastic skills)
f.130966.0.0	Source of report of F82 (specific developmental disorder of motor function)
f.130968.0.0	Source of report of F83 (mixed specific developmental disorders)
f.130970.0.0	Source of report of F84 (pervasive developmental disorders)
f.130972.0.0	Source of report of F88 (other disorders of psychological development)
f.130974.0.0	Source of report of F89 (unspecified disorder of psychological development)
f.130976.0.0	Source of report of F90 (hyperkinetic disorders)
f.130978.0.0	Source of report of F91 (conduct disorders)
f.130980.0.0	Source of report of F92 (mixed disorders of conduct and emotions)
f.130982.0.0	Source of report of F93 (emotional disorders with onset specific to childhood)
f.130984.0.0	Source of report of F94 (disorders of social functioning with onset specific to childhood and adolescence)
f.130986.0.0	Source of report of F95 (tic disorders)
f.130988.0.0	Source of report of F98 (other behavioural and emotional disorders with onset usually occurring in childhood and adolescence)
f.130990.0.0	"Source of report of F99 (mental disorder, not otherwise specified)"
f.130992.0.0	"Source of report of G00 (bacterial meningitis, not elsewhere classified)"
f.130994.0.0	Source of report of G01 (meningitis in bacterial diseases classified elsewhere)
f.130996.0.0	Source of report of G02 (meningitis in other infectious and parasitic diseases classified elsewhere)
f.130998.0.0	Source of report of G03 (meningitis due to other and unspecified causes)
f.131000.0.0	"Source of report of G04 (encephalitis, myelitis and encephalomyelitis)"
f.131002.0.0	"Source of report of G05 (encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere)"
f.131004.0.0	Source of report of G06 (intracranial and intraspinal abscess and granuloma)
f.131006.0.0	Source of report of G07 (intracranial and intraspinal abscess and granuloma in diseases classified elsewhere)
f.131008.0.0	Source of report of G08 (intracranial and intraspinal phlebitis and thrombophlebitis)
f.131010.0.0	Source of report of G09 (sequelae of inflammatory diseases of central nervous system)
f.131012.0.0	Source of report of G10 (huntington's disease)
f.131014.0.0	Source of report of G11 (hereditary ataxia)
f.131016.0.0	Source of report of G12 (spinal muscular atrophy and related syndromes)
f.131018.0.0	Source of report of G13 (systemic atrophies primarily affecting central nervous system in diseases classified elsewhere)
f.131020.0.0	Source of report of G14 (postpolio syndrome)
f.131022.0.0	Source of report of G20 (parkinson's disease)
f.131024.0.0	Source of report of G21 (secondary parkinsonism)
f.131026.0.0	Source of report of G22 (parkinsonism in diseases classified elsewhere)
f.131028.0.0	Source of report of G23 (other degenerative diseases of basal ganglia)
f.131030.0.0	Source of report of G24 (dystonia)
f.131032.0.0	Source of report of G25 (other extrapyramidal and movement disorders)
f.131036.0.0	Source of report of G30 (alzheimer's disease)
f.131038.0.0	"Source of report of G31 (other degenerative diseases of nervous system, not elsewhere classified)"
f.131040.0.0	Source of report of G32 (other degenerative disorders of nervous system in diseases classified elsewhere)
f.131042.0.0	Source of report of G35 (multiple sclerosis)
f.131044.0.0	Source of report of G36 (other acute disseminated demyelination)
f.131046.0.0	Source of report of G37 (other demyelinating diseases of central nervous system)
f.131048.0.0	Source of report of G40 (epilepsy)
f.131050.0.0	Source of report of G41 (status epilepticus)
f.131052.0.0	Source of report of G43 (migraine)
f.131054.0.0	Source of report of G44 (other headache syndromes)
f.131056.0.0	Source of report of G45 (transient cerebral ischaemic attacks and related syndromes)
f.131058.0.0	Source of report of G46 (vascular syndromes of brain in cerebrovascular diseases)
f.131060.0.0	Source of report of G47 (sleep disorders)
f.131062.0.0	Source of report of G50 (disorders of trigeminal nerve)
f.131064.0.0	Source of report of G51 (facial nerve disorders)
f.131066.0.0	Source of report of G52 (disorders of other cranial nerves)
f.131068.0.0	Source of report of G53 (cranial nerve disorders in diseases classified elsewhere)
f.131070.0.0	Source of report of G54 (nerve root and plexus disorders)
f.131072.0.0	Source of report of G55 (nerve root and plexus compressions in diseases classified elsewhere)
f.131074.0.0	Source of report of G56 (mononeuropathies of upper limb)
f.131076.0.0	Source of report of G57 (mononeuropathies of lower limb)
f.131078.0.0	Source of report of G58 (other mononeuropathies)
f.131080.0.0	Source of report of G59 (mononeuropathy in diseases classified elsewhere)
f.131082.0.0	Source of report of G60 (hereditary and idiopathic neuropathy)
f.131084.0.0	Source of report of G61 (inflammatory polyneuropathy)
f.131086.0.0	Source of report of G62 (other polyneuropathies)
f.131088.0.0	Source of report of G63 (polyneuropathy in diseases classified elsewhere)
f.131090.0.0	Source of report of G64 (other disorders of peripheral nervous system)
f.131092.0.0	Source of report of G70 (myasthenia gravis and other myoneural disorders)
f.131094.0.0	Source of report of G71 (primary disorders of muscles)
f.131096.0.0	Source of report of G72 (other myopathies)
f.131098.0.0	Source of report of G73 (disorders of myoneural junction and muscle in diseases classified elsewhere)
f.131100.0.0	Source of report of G80 (infantile cerebral palsy)
f.131102.0.0	Source of report of G81 (hemiplegia)
f.131104.0.0	Source of report of G82 (paraplegia and tetraplegia)
f.131106.0.0	Source of report of G83 (other paralytic syndromes)
f.131108.0.0	Source of report of G90 (disorders of autonomic nervous system)
f.131110.0.0	Source of report of G91 (hydrocephalus)
f.131112.0.0	Source of report of G92 (toxic encephalopathy)
f.131114.0.0	Source of report of G93 (other disorders of brain)
f.131116.0.0	Source of report of G94 (other disorders of brain in diseases classified elsewhere)
f.131118.0.0	Source of report of G95 (other diseases of spinal cord)
f.131120.0.0	Source of report of G96 (other disorders of central nervous system)
f.131122.0.0	"Source of report of G97 (postprocedural disorders of nervous system, not elsewhere classified)"
f.131124.0.0	"Source of report of G98 (other disorders of nervous system, not elsewhere classified)"
f.131126.0.0	Source of report of G99 (other disorders of nervous system in diseases classified elsewhere)
f.131128.0.0	Source of report of H00 (hordeolum and chalazion)
f.131130.0.0	Source of report of H01 (other inflammation of eyelid)
f.131132.0.0	Source of report of H02 (other disorders of eyelid)
f.131134.0.0	Source of report of H03 (disorders of eyelid in diseases classified elsewhere)
f.131136.0.0	Source of report of H04 (disorders of lachrymal system)
f.131138.0.0	Source of report of H05 (disorders of orbit)
f.131140.0.0	Source of report of H06 (disorders of lachrymal system and orbit in diseases classified elsewhere)
f.131142.0.0	Source of report of H10 (conjunctivitis)
f.131144.0.0	Source of report of H11 (other disorders of conjunctiva)
f.131146.0.0	Source of report of H13 (disorders of conjunctiva in diseases classified elsewhere)
f.131148.0.0	Source of report of H15 (disorders of sclera)
f.131150.0.0	Source of report of H16 (keratitis)
f.131152.0.0	Source of report of H17 (corneal scars and opacities)
f.131154.0.0	Source of report of H18 (other disorders of cornea)
f.131156.0.0	Source of report of H19 (disorders of sclera and cornea in diseases classified elsewhere)
f.131158.0.0	Source of report of H20 (iridocyclitis)
f.131160.0.0	Source of report of H21 (other disorders of iris and ciliary body)
f.131162.0.0	Source of report of H22 (disorders of iris and ciliary body in diseases classified elsewhere)
f.131164.0.0	Source of report of H25 (senile cataract)
f.131166.0.0	Source of report of H26 (other cataract)
f.131168.0.0	Source of report of H27 (other disorders of lens)
f.131170.0.0	Source of report of H28 (cataract and other disorders of lens in diseases classified elsewhere)
f.131172.0.0	Source of report of H30 (chorioretinal inflammation)
f.131174.0.0	Source of report of H31 (other disorders of choroid)
